RELI;GMDE;HIST_GMDE;E_KOORD;N_KOORD;B22BTOT;B22B11;B22B12;B22B13;B22B14;B22B15;B22B16;B22B21;B22B22;B22B23;B22B24;B22B25;B22B26;B22B27;B22B28;B22B29;B22B30;B22BMTOT;B22BM01;B22BM02;B22BM03;B22BM04;B22BM05;B22BM06;B22BM07;B22BM08;B22BM09;B22BM10;B22BM11;B22BM12;B22BM13;B22BM14;B22BM15;B22BM16;B22BM17;B22BM18;B22BM19;B22BWTOT;B22BW01;B22BW02;B22BW03;B22BW04;B22BW05;B22BW06;B22BW07;B22BW08;B22BW09;B22BW10;B22BW11;B22BW12;B22BW13;B22BW14;B22BW15;B22BW16;B22BW17;B22BW18;B22BW19;B22B41;B22B42;B22B43;B22B44;B22B45;B22B46;B22B51;B22B52;B22B53;B22B54;B22B55;B22B56;H22PTOT;H22P01;H22P02;H22P03;H22P04;H22P05;H22P06;H22PI
69482495;199;10368;2694800;1249500;98;78;20;8;7;5;0;76;0;56;20;0;22;10;4;7;3;58;0;3;3;3;4;4;6;3;3;3;9;6;3;3;3;6;3;3;0;40;0;0;0;0;3;3;3;3;3;0;3;3;4;3;3;3;4;6;7;3;14;9;65;8;0;96;3;0;0;0;0;0;0;0;0;0;0;0;0
69502797;4546;15467;2695000;1279700;15;15;0;0;0;0;0;15;3;4;10;0;0;0;0;0;0;4;0;0;0;0;0;0;3;0;0;3;0;0;0;3;0;0;0;0;3;11;3;0;0;3;0;0;0;0;0;0;0;3;0;0;3;0;3;4;3;0;0;0;9;6;0;14;0;0;0;3;0;0;0;0;0;0;0;0;0
69512893;2920;14948;2695100;1289300;17;15;3;3;0;0;0;15;3;12;3;0;3;3;0;0;0;12;0;0;0;0;0;0;0;3;3;0;3;3;3;3;3;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;3;3;0;3;0;0;0;3;0;0;0;12;5;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0
69522344;155;12754;2695200;1234400;55;48;7;3;3;4;0;43;6;23;13;3;12;5;3;3;3;24;0;0;0;0;0;0;0;3;0;0;0;5;4;3;3;3;3;3;3;31;3;0;0;3;3;3;0;3;0;3;0;3;3;3;3;3;5;6;6;3;4;6;38;6;0;53;3;0;0;3;0;0;0;0;0;0;0;0;0
69552669;221;12283;2695500;1266900;26;24;3;3;0;0;0;22;0;16;6;0;4;4;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0;3;3;3;18;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;8;8;0;3;3;21;3;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0
69602293;138;12907;2696000;1229300;67;58;9;7;0;3;0;55;13;22;20;0;12;7;0;5;0;34;0;0;3;3;3;3;4;3;3;0;3;3;4;3;3;3;3;3;3;33;0;0;0;0;3;0;0;3;3;3;3;3;3;3;4;3;3;4;8;0;5;6;45;11;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0
69612848;2915;12184;2696100;1284800;8;4;4;3;3;0;0;4;3;3;3;0;4;3;3;0;0;5;0;0;0;0;0;0;3;0;3;0;0;0;0;0;3;3;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;3;0;0;0;0;4;0;3;3;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
69662686;214;11574;2696600;1268600;4;4;0;0;0;0;0;4;0;3;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;3;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
69672450;198;10940;2696700;1245000;162;129;33;26;6;3;0;127;34;55;38;0;35;18;8;8;3;86;0;3;0;3;3;4;8;7;5;6;8;7;9;6;5;4;6;3;3;76;3;3;3;3;4;3;3;4;5;4;4;4;8;3;3;7;7;6;7;4;30;18;84;26;0;158;3;0;3;0;0;3;0;0;3;0;0;0;1
69682742;37;13128;2696800;1274200;14;14;0;0;0;0;0;12;0;8;4;0;3;3;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;3;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;3;0;0;3;10;3;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0
69682762;41;10899;2696800;1276200;4;4;0;0;0;0;0;3;0;3;0;0;3;0;3;0;0;3;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;3;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
69702141;1361;11778;2697000;1214100;7;7;0;0;0;0;0;7;3;3;3;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;3;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;3;0;3;3;3;3;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
69702330;158;10363;2697000;1233000;81;71;10;7;0;3;0;65;4;46;15;0;16;10;3;5;0;31;3;0;0;0;0;0;3;0;0;3;3;4;7;4;3;3;3;3;3;50;0;0;0;0;0;3;3;3;0;3;8;6;3;5;3;4;6;4;5;0;4;5;60;12;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0
69702363;157;12501;2697000;1236300;38;35;3;3;0;3;0;31;3;21;8;0;7;5;3;3;0;16;0;0;0;0;3;0;3;0;3;3;3;3;0;0;3;3;3;3;3;22;0;0;0;0;3;0;0;3;3;0;0;3;0;3;3;3;3;6;6;0;3;8;26;3;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0
69702407;196;12427;2697000;1240700;42;38;4;4;0;0;0;32;0;25;7;0;10;7;3;3;0;16;0;0;0;0;3;0;0;0;0;0;3;3;0;3;3;3;3;3;4;26;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;5;5;3;4;0;3;3;35;4;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0
69712280;1323;10314;2697100;1228000;12;12;0;0;0;0;0;12;3;3;8;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;3;9;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;0;0;3;0;10;3;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0
69722617;230;10347;2697200;1261700;530;429;101;50;21;30;0;402;162;99;140;3;128;51;25;52;0;286;3;3;3;12;23;15;22;27;17;17;18;37;28;16;15;11;4;9;9;244;3;7;3;5;11;8;17;12;16;13;7;18;14;7;17;12;19;27;30;14;75;43;320;78;0;517;6;3;4;0;3;3;3;0;0;0;0;0;1
